raceId,driverId,lap,position,time,milliseconds,seconds,log_seconds,reciprocal_seconds
185,65,72,12,1:25.171,85171,85.171,4.444661000307497,0.011741085580772798
1054,839,64,7,1:22.524,82524,82.524,4.4130891601257,0.012117686975910038
1104,847,22,8,1:17.879,77879,77.879,4.355156340154484,0.012840431952130868
1088,832,35,6,1:16.859,76859,76.859,4.34197257438331,0.01301083802807739
26,5,22,5,1:34.036,94036,94.036,4.543677687675776,0.01063422519035263
212,76,60,13,1:26.641,86641,86.641,4.461773144639054,0.011541879710529656
998,817,5,5,1:34.203,94203,94.203,4.545452028208966,0.010615373183444264
50,24,61,10,1:34.170,94170,94.17,4.545101659521972,0.010619093129446745
176,37,3,15,1:23.030,83030,83.03,4.419201988273939,0.012043839576056847
1008,8,66,3,1:12.457,72457,72.457,4.282993282456927,0.013801289040396375
1003,832,24,8,1:47.172,107172,107.172,4.674435020489749,0.00933079535699623
41,17,52,2,1:50.018,110018,110.018,4.700643988769083,0.009089421730989474
88,32,11,7,1:35.487,95487,95.487,4.558990112566296,0.010472629782064575
75,14,37,8,1:18.376,78376,78.376,4.361517758042341,0.012759007859548841
1008,154,42,8,1:13.455,73455,73.455,4.296672973822391,0.013613777142468178
87,15,63,13,1:15.007,75007,75.007,4.317581442514359,0.013332089005026197
225,84,19,10,1:39.469,99469,99.469,4.599846037831391,0.010053383466205552
348,18,33,9,1:26.778,86778,86.778,4.46335313331965,0.011523658070017746
869,818,43,13,1:21.630,81630,81.63,4.402196841463264,0.012250398137939484
92,4,48,7,1:32.190,92190,92.19,4.523851664810503,0.010847163466753445
59,31,66,2,1:17.679,77679,77.679,4.35258495057374,0.012873492192226985
1008,154,43,8,1:13.489,73489,73.489,4.297135735154691,0.013607478670277184
1080,4,22,7,1:33.462,93462,93.462,4.537554936572524,0.010699535640153216
1095,852,51,15,1:17.935,77935,77.935,4.355875145941014,0.01283120549175595
914,817,26,5,1:53.576,113576,113.576,4.7324722163612725,0.00880467704444601
1071,840,32,15,1:15.440,75440,75.44,4.323337638325202,0.013255567338282079
885,16,22,9,1:21.462,81462,81.462,4.400136653846199,0.012275662271979572
1012,846,44,17,1:39.227,99227,99.227,4.597410154676628,0.010077902183881403
